Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-26,Obiad,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-26,Obiad,"Jajko 0","120x g",120,165.6,15.6,,,11.388,,,,,,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-26,Obiad,"Beef jerky","50x g",50,137.5,25,,,2.75,1.3,,,,,2.45,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2025-04-26,Kolacja,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-04-27,Śniadanie,"Kleik ryżowy Bobovita","25x g",25,97,1.95,,,0.3,0.1,,,,0,21.375,0,,0.45,,,,0.2,,,,,,,,,,,,,,,,,,3,,,0.0075
2025-04-27,Śniadanie,"Mleko spożywcze 0.5 % tłuszczu","140x ml",140,54.6,4.9,0,4.76,0.7,0.448,0.168,0.014,0,0.014,7.14,7.14,2.8,0,,7,21,0.056,0.238,,0.07,,0.56,1.4,0,0.014,0.14,0.14,0.56,135.8,4.76,16.8,0.014,197.4,,63.28,169.4,0.14,0.154
2025-04-27,Śniadanie,Białko,"25x g",25,97.5,19.75,,19.75,1.625,1,0.4,0.025,,,1.25,1.25,,0,,,,,,,,,,,,,,,,,,,,,,50,,,0.2475
2025-04-27,Śniadanie,"Ciasteczka owsiane z sezamem","10x g",10,50.8,0.59,,,2.5,1.1,,,,,6.3,3.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.021
2025-04-27,Śniadanie,"Beef jerky","50x g",50,137.5,25,,,2.75,1.3,,,,,2.45,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2025-04-27,"II śniadanie","Jajko L","240x g",240,335.304,30,,,23.304,7.056,,,,,1.44,0,,,,,,,,,,,,,,,,,,,,,,,,384,,,1.056
2025-04-27,"II śniadanie","Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","2x opakowanie",280,498.4,40.6,,,36.4,11.2,,,0,0,2.24,1.4,,,,,,,,,,,,,,,,,,,,,,,,1904,,,4.76
2025-04-27,Obiad,"Pierś z kurczaka","300x g",300,297,64.5,0,64.5,3.9,0.9,0.9,0.9,,,0,0,174,0,,36,18,0.3,0.6,,1.8,,1.2,0,0,0.9,37.2,,1.5,720,0,99,0,1155,,165,15,1.2,
2025-04-28,Śniadanie,"Pierś z kurczaka","300x g",300,297,64.5,0,64.5,3.9,0.9,0.9,0.9,,,0,0,174,0,,36,18,0.3,0.6,,1.8,,1.2,0,0,0.9,37.2,,1.5,720,0,99,0,1155,,165,15,1.2,
2025-04-28,Śniadanie,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-28,Śniadanie,"Kabanos proteinowy","80x g",80,247.2,32,,,11.2,3.36,,,0,0,3.92,1.28,,0,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2025-04-28,Śniadanie,"Kinder Crispy Chrupiący wafelek z nadzieniem kakaowym i orzechowym 34 g","1x porcja",34,194.82,2.652,,,12.512,6.902,,,,,17.612,14.79,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0918
2025-04-28,Obiad,"Jajko 0","180x g",180,248.4,23.4,,,17.082,,,,,,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28,Obiad,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-04-28,Obiad,"Light mayonnaise","20x g",20,68.4,0.08,,,6.8,0.76,,,,,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2025-04-28,Przekąska,"Beef jerky","50x g",50,137.5,25,,,2.75,1.3,,,,,2.45,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2025-04-28,Kolacja,"Sereno Orzechy Makadamia","30x g",30,225.6,2.37,,,22.8,3.6,,,0,0,1.56,1.44,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-29,Śniadanie,"Peaunut butter chocolate soft cookie","1x opakowanie",50,236,8.3,,,15.7,2.7,,,,,10.1,3.55,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2025-04-29,Śniadanie,"kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-04-29,Śniadanie,"Pierś z kurczaka","350x g",350,346.5,75.25,0,75.25,4.55,1.05,1.05,1.05,,,0,0,203,0,,42,21,0.35,0.7,,2.1,,1.4,0,0,1.05,43.4,,1.75,840,0,115.5,0,1347.5,,192.5,17.5,1.4,
2025-04-29,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-29,Śniadanie,"Ryki Ser Active Protein Plus w Plastrach","35x g",35,70,10.913,,10.85,2.884,2.058,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,389.116,,0.413
2025-04-29,"II śniadanie","kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-04-29,Lunch,Macadamia,"50x g",50,363,4.3,,,35.65,6,,,,,3.05,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
2025-04-30,"II śniadanie","kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-04-30,"II śniadanie",Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-30,"II śniadanie","Ryki Ser Active Protein Plus w Plastrach","40x g",40,80,12.472,,12.4,3.296,2.352,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,444.704,,0.472
2025-04-30,"II śniadanie","Pierś z kurczaka","200x g",200,198,43,0,43,2.6,0.6,0.6,0.6,,,0,0,116,0,,24,12,0.2,0.4,,1.2,,0.8,0,0,0.6,24.8,,1,480,0,66,0,770,,110,10,0.8,
2025-04-30,Obiad,"Graal Tuńczyk kawałki w sosie własnym 170 g","1x opakowanie",170,127.5,30.6,,34,0,0,,,,,1.19,0,,,,,,,,,,,,,,,,,,,,,,,,768.4,,,1.394
2025-04-30,Obiad,"Light mayonnaise","30x g",30,102.6,0.12,,,10.2,1.14,,,,,2.55,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2025-04-30,Obiad,"Jajko M ok. 58 G","2x porcja",116,161.24,13.92,,,11.6,3.828,,,,,1.16,0,,,,,214.6,,,,,,,,1.16,,,,,215.76,,,,,,,,,0.3944
2025-04-30,Obiad,Migdały,"1x łyżka",15,90.6,3.615,3.615,,7.8,0.711,5.0475,1.635,0.06,1.575,3.075,0.63,0,1.935,,14.4,,0.0315,0.117,,0.0165,,0,0.84,0,3.6,0.51,0,0.4785,68.1,0.3,40.35,0.15,116.7,,2.1,35.85,0.45,0.006
2025-04-30,Obiad,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-30,Przekąska,"Masło orzechowe","30x g",30,174.3,5.1,8.1,0,13.8,1.83,,,,0,3.6,1.92,,2.73,,,,0.192,,,0.105,,,,,,,,,,,50.4,,211.5,,,27.6,,0.012
2025-04-30,Przekąska,"Lindt Excellence 100 % Cocoa Tabliczka kakaowa 50 g","30x g",30,184.2,3.9,,,16.2,10.2,,,,,3.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015
2025-04-30,Kolacja,"Piatnica Jogurt Grecki 0% Naturalny","150x g",150,76.5,13.05,,13.05,0,0,0,0,,0,6.15,5.1,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,60,0,0,0.15
2025-04-30,Kolacja,"Sereno Orzechy Makadamia","20x g",20,150.4,1.58,,,15.2,2.4,,,0,0,1.04,0.96,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-01,Śniadanie,"Mięso drobiowe","360x g",360,352.8,77.4,0,77.4,4.68,1.044,1.08,1.08,0.18,0.9,0,,208.8,0,,43.2,21.6,0.324,0.54,,1.98,,1.44,0,0,1.08,44.784,52.92,1.764,864,,118.8,0.036,1386,,198.72,18,1.44,0.504
2025-05-01,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-01,Śniadanie,"Light mayonnaise","20x g",20,68.4,0.08,,,6.8,0.76,,,,,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2025-05-01,Śniadanie,"Protein granola","28x g",28,116.48,5.88,,,4.2,0.84,,,,,12.32,0.448,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,0.1148
2025-05-01,"II śniadanie","kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-05-01,Obiad,Jajko,"300x g",300,414,39,,,28.47,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,Obiad,"Light mayonnaise","30x g",30,102.6,0.12,,,10.2,1.14,,,,,2.55,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2025-05-01,Przekąska,"Masło orzechowe","30x g",30,174.3,5.1,8.1,0,13.8,1.83,,,,0,3.6,1.92,,2.73,,,,0.192,,,0.105,,,,,,,,,,,50.4,,211.5,,,27.6,,0.012
2025-05-01,Przekąska,"E. Wedel Czekolada mocno gorzka 80 % 80 g","40x g",40,223.2,4,,,18,10.8,,,,,8.4,6.4,,6.4,0,,,,,,,,,,,,,,,,,113.2,,,,1.6,,,0.008
2025-05-02,Śniadanie,Jajko,"300x g",300,414,39,,,28.47,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02,Śniadanie,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-05-02,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-02,Śniadanie,"Kinder Country Czekolada mleczna z nadzieniem mlecznym i zbożami 23,5 g","1x opakowanie",23.5,131.835,2.021,,,7.943,5.1465,,,0,0,12.9015,11.5385,,,,,,,,,,,,,,,,,,,,,,,,0.0658,,,0.0658
2025-05-02,Przekąska,"kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-05-02,Kolacja,"Ryki Ser Active Protein Plus w Plastrach","35x g",35,70,10.913,,10.85,2.884,2.058,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,389.116,,0.413
2025-05-02,Kolacja,"Mleko spożywcze 0.5 % tłuszczu","250x ml",250,97.5,8.75,0,8.5,1.25,0.8,0.3,0.025,0,0.025,12.75,12.75,5,0,,12.5,37.5,0.1,0.425,,0.125,,1,2.5,0,0.025,0.25,0.25,1,242.5,8.5,30,0.025,352.5,,113,302.5,0.25,0.275
2025-05-02,Kolacja,"E. Wedel Czekolada mocno gorzka 80 % 80 g","40x g",40,223.2,4,,,18,10.8,,,,,8.4,6.4,,6.4,0,,,,,,,,,,,,,,,,,113.2,,,,1.6,,,0.008
2025-05-02,Kolacja,"Masło orzechowe","30x g",30,174.3,5.1,8.1,0,13.8,1.83,,,,0,3.6,1.92,,2.73,,,,0.192,,,0.105,,,,,,,,,,,50.4,,211.5,,,27.6,,0.012
2025-05-03,Śniadanie,"Sierpc Ser królewski plastry 135 g","57x g",57,200.64,14.82,,14.82,15.39,10.26,,,,,0.684,0,,,,,,,,,,,,,,,,,,,,,,,,342,,,0.855
2025-05-03,Śniadanie,"Pierś z kurczaka","270x g",270,267.3,58.05,0,58.05,3.51,0.81,0.81,0.81,,,0,0,156.6,0,,32.4,16.2,0.27,0.54,,1.62,,1.08,0,0,0.81,33.48,,1.35,648,0,89.1,0,1039.5,,148.5,13.5,1.08,
2025-05-03,Śniadanie,"Light mayonnaise","15x g",15,51.3,0.06,,,5.1,0.57,,,,,1.275,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255
2025-05-03,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-03,Przekąska,"Mleko spożywcze 0.5 % tłuszczu","250x ml",250,97.5,8.75,0,8.5,1.25,0.8,0.3,0.025,0,0.025,12.75,12.75,5,0,,12.5,37.5,0.1,0.425,,0.125,,1,2.5,0,0.025,0.25,0.25,1,242.5,8.5,30,0.025,352.5,,113,302.5,0.25,0.275
2025-05-03,Przekąska,"E. Wedel Czekolada mocno gorzka 80 % 80 g","40x g",40,223.2,4,,,18,10.8,,,,,8.4,6.4,,6.4,0,,,,,,,,,,,,,,,,,113.2,,,,1.6,,,0.008
2025-05-03,Przekąska,"Masło orzechowe","20x g",20,116.2,3.4,5.4,0,9.2,1.22,,,,0,2.4,1.28,,1.82,,,,0.128,,,0.07,,,,,,,,,,,33.6,,141,,,18.4,,0.008
2025-05-03,Kolacja,Jajko,"300x g",300,414,39,,,28.47,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-03,Kolacja,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-05-03,Kolacja,Oliwa,"5x g",5,41.2,0,,,4.58,0.65,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-04,Śniadanie,"Pierś z kurczaka","350x g",350,346.5,75.25,0,75.25,4.55,1.05,1.05,1.05,,,0,0,203,0,,42,21,0.35,0.7,,2.1,,1.4,0,0,1.05,43.4,,1.75,840,0,115.5,0,1347.5,,192.5,17.5,1.4,
2025-05-04,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-04,Przekąska,"Mleko spożywcze 0.5 % tłuszczu","150x ml",150,58.5,5.25,0,5.1,0.75,0.48,0.18,0.015,0,0.015,7.65,7.65,3,0,,7.5,22.5,0.06,0.255,,0.075,,0.6,1.5,0,0.015,0.15,0.15,0.6,145.5,5.1,18,0.015,211.5,,67.8,181.5,0.15,0.165
2025-05-04,Przekąska,"E. Wedel Czekolada mocno gorzka 80 % 80 g","40x g",40,223.2,4,,,18,10.8,,,,,8.4,6.4,,6.4,0,,,,,,,,,,,,,,,,,113.2,,,,1.6,,,0.008
2025-05-04,Przekąska,"Masło orzechowe","20x g",20,116.2,3.4,5.4,0,9.2,1.22,,,,0,2.4,1.28,,1.82,,,,0.128,,,0.07,,,,,,,,,,,33.6,,141,,,18.4,,0.008
2025-05-04,Przekąska,"kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-05-04,Kolacja,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-05-04,Kolacja,Jajko,"120x g",120,165.6,15.6,,,11.388,,,,,,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-04,Kolacja,"Sereno Orzechy Makadamia","34x g",34,255.68,2.686,,,25.84,4.08,,,0,0,1.768,1.632,,2.924,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-05,Śniadanie,"Peaunut butter chocolate soft cookie","1x opakowanie",50,236,8.3,,,15.7,2.7,,,,,10.1,3.55,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2025-05-05,Śniadanie,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-05,Śniadanie,Jajko,"300x g",300,414,39,,,28.47,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,Śniadanie,"kabanosy z szynki protein 32g","2x porcja",80,262.4,32,,,12,4,,,,,1.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-05-05,Obiad,"Pierś z kurczaka","183x g",183,181.17,39.345,0,39.345,2.379,0.549,0.549,0.549,,,0,0,106.14,0,,21.96,10.98,0.183,0.366,,1.098,,0.732,0,0,0.549,22.692,,0.915,439.2,0,60.39,0,704.55,,100.65,9.15,0.732,
2025-05-05,Obiad,Oliwa,"10x g",10,82.4,0,,,9.16,1.3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-05,Obiad,Jajko,"60x g",60,82.8,7.8,,,5.694,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,Kolacja,"Mleko spożywcze 0.5 % tłuszczu","250x ml",250,97.5,8.75,0,8.5,1.25,0.8,0.3,0.025,0,0.025,12.75,12.75,5,0,,12.5,37.5,0.1,0.425,,0.125,,1,2.5,0,0.025,0.25,0.25,1,242.5,8.5,30,0.025,352.5,,113,302.5,0.25,0.275
2025-05-05,Kolacja,"Protein Penaut Butter Smak Kokos","20x g",20,117.4,6.2,,,8.8,2.8,,,,,3.2,0.92,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,0.016
2025-05-05,Kolacja,"Czekolada gorzka terravita","50x g",50,277,4.5,,,19.5,11.5,,,,,18,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.01
2025-05-06,Śniadanie,"Sierpc Ser królewski plastry 135 g","41x g",41,144.32,10.66,,10.66,11.07,7.38,,,,,0.492,0,,,,,,,,,,,,,,,,,,,,,,,,246,,,0.615
2025-05-06,Śniadanie,"Parówki drobiowo cielęce wędzone i parzone 87 % mięsa","1x opakowanie",140,249.2,20.3,,,18.2,5.6,,,0,0,1.12,0.7,,,,,,,,,,,,,,,,,,,,,,,,952,,,2.38
2025-05-06,Śniadanie,"Light mayonnaise","12x g",12,41.04,0.048,,,4.08,0.456,,,,,1.02,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204
2025-05-06,"II śniadanie","Mleko spożywcze 0.5 % tłuszczu","250x ml",250,97.5,8.75,0,8.5,1.25,0.8,0.3,0.025,0,0.025,12.75,12.75,5,0,,12.5,37.5,0.1,0.425,,0.125,,1,2.5,0,0.025,0.25,0.25,1,242.5,8.5,30,0.025,352.5,,113,302.5,0.25,0.275
2025-05-06,"II śniadanie","Protein Penaut Butter Smak Kokos","20x g",20,117.4,6.2,,,8.8,2.8,,,,,3.2,0.92,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,0.016
2025-05-06,"II śniadanie","Czekolada gorzka terravita","50x g",50,277,4.5,,,19.5,11.5,,,,,18,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.01
2025-05-06,Obiad,Białko,"30x g",30,117,23.7,,23.7,1.95,1.2,0.48,0.03,,,1.5,1.5,,0,,,,,,,,,,,,,,,,,,,,,,60,,,0.297
2025-05-06,Przekąska,"Piatnica Jogurt Grecki 0% Naturalny","70x g",70,35.7,6.09,,6.09,0,0,0,0,,0,2.87,2.38,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,28,0,0,0.07
2025-05-06,Kolacja,"Mięso mielone wołowe","200x g",200,512,36,,36,40,21.6,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,160,,,0.4
2025-05-06,Kolacja,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-05-06,Kolacja,"Sierpc Ser Krolewski Light","40x g",40,120.4,12.4,,12.4,7.6,4.8,,,0,0,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,424,,0.56
2025-05-07,Kolacja,"Mięso mielone wołowe","200x g",200,512,36,,36,40,21.6,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,160,,,0.4
2025-05-07,Kolacja,Olej,"5x g",5,44.2,0,,,5,0.335,3.15,1.29,,,0,0,0,0,,,,,,,,,,,,1.335,,,,,,,,,,,,,
2025-05-07,Kolacja,"Sierpc Ser Krolewski Light","40x g",40,120.4,12.4,,12.4,7.6,4.8,,,0,0,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,424,,0.56
2025-05-07,Kolacja,Jajko,"60x g",60,82.8,7.8,,,5.694,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,Kolacja,"Hortex Owocowe Sorbet cytryna & limonka 70 ml","1x opakowanie",50,43.5,0.25,,,0.25,0.05,,,,,10.5,9.5,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-08,Śniadanie,Jajko,"180x g",180,248.4,23.4,,,17.082,,,,,,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,Śniadanie,Zapiekana,"150x g",150,430.5,15,,,21.9,,,,,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,Obiad,Oliwa,"5x g",5,41.2,0,,,4.58,0.65,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-05-08,Obiad,Jajko,"360x g",360,496.8,46.8,,,34.164,,,,,,1.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,Kolacja,"Parówki z piersi kurczaka ","1x opakowanie",80,145.6,12,,,10.4,3.36,,,,,0.8,0.72,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1.016
2025-05-08,Kolacja,"Parówki z piersi kurczaka ","1x opakowanie",80,145.6,12,,,10.4,3.36,,,,,0.8,0.72,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1.016
2025-05-08,Kolacja,"Sierpc Ser królewski plastry 135 g","80x g",80,281.6,20.8,,20.8,21.6,14.4,,,,,0.96,0,,,,,,,,,,,,,,,,,,,,,,,,480,,,1.2
